id,Wifes_age,Wifes_education,Husbands_education,Number_of_children_ever_born,Wifes_religion,Wifes_now_working?,Husbands_occupation,Standard-of-living_index,Media_exposure,binaryClass
1,24,2,3,3,1,1,2,3,0,P
2,45,1,3,10,1,1,3,4,0,P
3,43,2,3,7,1,1,3,4,0,P
4,42,3,2,9,1,1,3,3,0,P
5,36,3,3,8,1,1,3,2,0,P
6,19,4,4,0,1,1,3,3,0,P
7,38,2,3,6,1,1,3,2,0,P
8,21,3,3,1,1,0,3,2,0,P
9,27,2,3,3,1,1,3,4,0,P
10,45,1,1,8,1,1,2,2,1,P
11,38,1,3,2,1,0,3,3,1,P
12,42,1,4,4,1,1,1,3,0,P
13,44,4,4,1,1,0,1,4,0,P
14,42,2,4,1,1,0,3,3,0,P
15,38,3,4,2,1,1,2,3,0,P
16,26,2,4,0,1,1,4,1,0,P
17,48,1,1,7,1,1,2,4,0,P
18,39,2,2,6,1,1,2,4,0,P
19,37,2,2,8,1,1,2,3,0,P
20,39,2,1,5,1,1,2,1,1,P
21,26,3,4,1,1,0,4,1,0,P
22,24,3,4,0,1,0,3,1,0,P
23,46,4,4,1,0,1,1,4,0,P
24,39,4,4,1,1,1,1,4,0,P
25,48,4,4,5,1,1,1,4,0,P
26,40,2,4,8,1,1,3,3,0,P
27,38,4,4,1,1,0,1,4,0,P
28,29,4,4,0,1,0,1,4,0,P
29,24,4,4,0,1,0,2,2,0,P
30,43,1,2,8,1,1,2,4,0,P
31,31,3,4,2,1,1,1,4,0,P
32,31,4,4,2,1,1,3,2,0,P
33,26,2,4,0,1,0,1,2,0,P
34,33,2,2,2,1,1,3,1,0,P
35,24,2,3,1,1,1,3,3,0,P
36,42,1,3,9,1,1,3,2,1,P
37,43,1,2,8,1,0,3,1,0,P
38,25,3,3,4,1,1,3,2,0,P
39,42,2,2,3,1,1,3,4,0,P
40,28,2,2,1,1,1,2,4,0,P
41,28,1,1,3,1,1,3,1,0,P
42,47,2,3,0,1,0,1,3,0,P
43,48,2,4,2,1,1,1,3,0,P
44,40,4,4,2,0,1,1,4,0,P
45,28,2,2,1,1,1,3,2,0,P
46,25,1,4,1,1,1,2,1,0,P
47,32,4,4,2,1,1,2,3,0,P
48,45,4,4,0,1,1,2,4,0,P
49,26,4,4,1,1,1,1,4,0,P
50,26,4,4,0,1,0,1,4,0,P
51,31,4,4,0,1,0,1,4,0,P
52,49,4,4,7,0,1,2,4,0,P
53,40,3,4,8,1,1,3,3,0,P
54,34,4,4,1,0,0,2,3,0,P
55,36,2,4,5,1,1,2,3,0,P
56,20,2,2,2,1,1,2,2,1,P
57,43,4,4,5,1,0,1,4,0,P
58,37,3,4,7,1,1,2,1,0,P
59,21,2,3,0,1,1,3,4,0,P
60,49,4,4,6,1,1,1,2,0,P
61,42,3,3,10,1,1,3,3,0,P
62,20,2,3,1,1,1,2,3,0,P
63,47,1,2,2,1,0,1,3,0,P
64,22,2,3,1,1,1,2,1,0,P
65,27,2,4,1,1,0,1,3,0,P
66,24,2,4,1,1,1,3,1,0,P
67,44,4,2,8,1,1,3,3,0,P
68,30,2,3,3,1,1,3,1,0,P
69,23,3,4,2,1,1,3,4,0,P
70,25,4,4,1,1,0,3,3,0,P
71,47,2,3,4,1,1,2,3,0,P
72,48,2,3,8,1,1,1,4,0,P
73,29,2,3,1,1,1,1,1,0,P
74,29,2,3,1,1,1,1,2,0,P
75,21,3,4,0,1,1,2,3,0,P
76,21,3,4,1,1,1,2,3,0,P
77,29,4,4,0,1,0,2,4,0,P
78,45,3,4,3,1,1,1,4,0,P
79,33,2,3,2,1,1,3,2,0,P
80,38,4,4,1,1,0,1,4,0,P
81,24,4,4,0,0,1,1,4,0,P
82,49,4,4,6,0,0,1,4,0,P
83,24,2,4,1,1,0,4,4,0,P
84,28,4,4,0,0,0,1,4,0,P
85,30,4,4,2,1,1,1,4,0,P
86,33,4,4,2,1,1,1,4,0,P
87,25,4,4,1,1,1,1,3,0,P
88,35,4,4,3,0,1,1,4,0,P
89,27,2,4,4,1,1,1,4,0,P
90,24,2,2,3,1,0,2,1,0,P
91,25,2,3,0,1,1,2,1,0,P
92,46,2,4,6,1,1,1,4,0,P
93,26,2,2,3,1,1,2,1,0,P
94,38,2,2,1,1,0,3,2,0,P
95,47,1,2,3,1,1,1,3,0,P
96,41,1,3,10,1,1,2,3,1,P
97,41,2,3,1,1,0,2,3,0,P
98,28,4,4,5,1,1,2,1,0,P
99,17,2,2,3,1,1,3,1,0,P
100,27,2,3,5,1,1,2,1,0,P
101,27,1,2,4,1,1,3,1,1,P
102,19,2,3,0,1,0,2,2,0,P
103,27,2,4,3,1,0,3,2,0,P
104,26,4,3,4,1,1,2,3,0,P
105,23,2,4,2,1,1,3,3,0,P
106,40,3,3,3,1,1,3,2,0,P
107,22,4,4,0,1,1,1,1,0,P
108,44,3,4,4,1,0,1,3,0,P
109,29,2,3,2,1,1,3,1,0,P
110,26,2,3,3,1,1,3,1,0,P
111,45,4,4,1,1,0,3,3,0,P
112,32,3,3,7,1,0,2,3,0,P
113,21,4,4,1,1,1,1,4,0,P
114,31,2,2,4,1,1,3,3,0,P
115,21,3,4,0,1,1,1,3,0,P
116,37,4,4,1,1,1,1,4,0,P
117,34,4,4,3,0,0,3,3,0,P
118,44,3,4,1,1,1,1,3,0,P
119,49,4,3,5,1,1,2,3,0,P
120,26,2,3,2,1,1,3,3,0,P
121,38,1,2,1,1,1,2,4,1,P
122,36,2,3,5,1,1,2,3,0,P
123,26,3,4,2,1,1,3,3,0,P
124,20,2,3,1,0,1,3,2,0,P
125,44,2,1,3,1,0,3,2,0,P
126,31,3,4,2,1,1,1,2,1,P
127,45,4,4,1,1,1,1,3,0,P
128,36,2,3,2,1,1,3,2,1,P
129,43,1,3,2,1,0,2,2,1,P
130,25,3,4,0,1,1,1,3,0,P
131,48,3,4,3,1,1,3,1,0,P
132,30,4,4,0,0,0,1,3,0,P
133,48,1,2,8,1,1,3,1,0,P
134,28,3,4,1,1,1,3,1,1,P
135,26,4,4,1,1,1,1,3,0,P
136,26,3,3,3,1,0,2,4,0,P
137,24,4,4,2,1,1,3,3,0,P
138,21,3,3,2,1,1,2,2,0,P
139,30,4,4,2,0,1,3,1,0,P
140,20,4,4,1,1,1,1,4,0,P
141,33,4,4,2,1,1,1,3,0,P
142,30,4,4,0,0,0,3,3,0,P
143,47,4,4,1,1,0,1,3,0,P
144,35,4,4,2,0,1,3,3,0,P
145,30,2,4,2,1,1,3,4,0,P
146,33,4,4,3,1,1,1,4,0,P
147,45,4,4,4,1,1,2,3,0,P
148,41,4,4,2,1,1,1,4,0,P
149,32,4,4,1,1,0,1,3,0,P
150,43,4,4,5,1,1,1,4,0,P
151,44,4,4,3,1,1,2,4,0,P
152,21,1,3,4,1,1,3,2,0,P
153,44,3,4,2,1,1,1,4,1,P
154,23,4,4,2,1,1,2,4,0,P
155,47,1,2,4,1,1,2,2,0,P
156,47,1,1,7,1,1,2,3,1,P
157,35,4,4,2,1,0,2,4,0,P
158,32,2,4,4,1,1,3,2,0,P
159,45,1,4,5,1,1,1,2,1,P
160,22,2,2,2,1,1,3,1,0,P
161,23,1,1,3,1,1,2,1,1,P
162,30,4,4,0,1,0,1,4,0,P
163,44,1,3,0,1,1,2,3,0,P
164,40,3,3,1,1,0,3,3,0,P
165,34,4,4,4,1,1,2,3,0,P
166,37,3,4,1,1,1,2,4,0,P
167,49,3,4,5,1,1,1,4,0,P
168,26,4,4,1,1,1,1,4,0,P
169,22,4,4,0,1,1,2,4,0,P
170,20,3,4,0,1,0,2,4,0,P
171,47,4,4,4,1,1,1,4,0,P
172,49,2,2,8,1,0,3,1,0,P
173,22,2,4,1,1,1,2,4,0,P
174,22,3,3,2,1,1,3,4,0,P
175,25,3,2,2,1,1,3,2,0,P
176,32,2,4,0,1,0,3,4,0,P
177,28,4,4,0,0,1,1,3,0,P
178,30,2,4,4,1,0,1,4,0,P
179,45,2,4,2,1,0,2,4,0,P
180,49,2,1,10,1,0,2,4,0,P
181,34,4,4,2,1,0,1,4,0,P
182,25,2,4,1,1,1,2,2,0,P
183,42,1,3,12,1,1,3,3,0,P
184,48,2,1,3,1,0,4,3,0,P
185,35,3,4,5,1,0,2,2,0,P
186,33,2,3,1,1,1,3,4,0,P
187,20,2,4,0,1,1,3,2,0,P
188,36,2,3,4,1,1,3,1,1,P
189,19,3,3,2,1,1,3,2,0,P
190,27,3,2,3,1,1,3,2,0,P
191,30,1,2,4,1,1,4,1,0,P
192,31,3,4,3,1,0,3,2,0,P
193,44,1,1,11,1,1,4,1,1,P
194,24,3,3,2,1,1,3,3,0,P
195,18,3,4,0,1,0,3,1,0,P
196,45,1,2,6,1,1,3,3,1,P
197,25,2,2,3,1,0,3,1,0,P
198,36,3,4,6,1,1,2,4,0,P
199,30,1,1,5,1,1,2,2,0,P
200,32,2,4,2,1,1,3,3,0,P
201,42,1,4,11,0,1,2,2,1,P
202,22,2,4,0,1,1,3,3,0,P
203,36,2,4,2,1,0,2,4,0,P
204,27,2,3,2,1,1,3,3,0,P
205,40,3,4,1,1,1,1,2,0,P
206,22,2,3,2,1,1,3,1,0,P
207,26,2,4,0,1,1,3,1,0,P
208,31,3,4,0,1,0,2,3,0,P
209,32,4,4,1,1,1,1,4,0,P
210,34,2,3,3,1,0,3,2,0,P
211,40,3,3,1,0,1,3,4,0,P
212,45,1,2,1,1,0,3,3,0,P
213,26,3,4,3,1,1,3,2,0,P
214,48,1,3,5,1,1,3,2,0,P
215,43,1,3,8,1,1,3,1,0,P
216,27,3,4,2,1,0,2,2,0,P
217,42,3,2,1,1,1,3,3,0,P
218,34,3,2,8,1,0,2,3,1,P
219,32,3,2,4,1,1,2,2,1,P
220,31,3,3,2,1,0,2,3,0,P
221,22,2,3,1,1,1,3,3,0,P
222,27,3,4,0,1,1,3,3,0,P
223,37,1,2,2,1,1,2,2,1,P
224,22,1,2,0,1,1,2,4,0,P
225,47,4,4,4,1,1,1,4,0,P
226,32,4,4,4,1,0,1,3,0,P
227,37,3,3,2,1,1,1,4,0,P
228,45,1,3,1,1,1,2,3,1,P
229,47,1,4,8,1,1,3,3,0,P
230,28,3,4,0,1,1,3,2,0,P
231,48,1,3,4,1,1,3,4,1,P
232,26,2,4,1,1,1,1,3,0,P
233,21,3,4,0,1,0,3,1,0,P
234,20,2,3,1,1,1,2,4,0,P
235,39,1,1,5,1,0,3,1,1,P
236,27,2,3,1,1,0,3,4,0,P
237,37,2,3,5,1,0,3,2,0,P
238,24,4,4,1,1,1,3,3,0,P
239,39,3,3,6,1,1,3,3,0,P
240,20,3,3,1,1,1,2,3,0,P
241,19,3,4,1,1,1,2,3,0,P
242,40,3,3,4,1,1,2,2,0,P
243,41,1,4,4,1,1,3,3,0,P
244,22,4,4,2,1,1,1,3,0,P
245,32,3,4,4,1,1,1,4,0,P
246,34,4,4,2,0,1,1,4,0,P
247,34,4,4,2,1,0,1,3,0,P
248,23,4,4,2,1,1,1,4,0,P
249,27,4,4,1,1,1,1,2,0,P
250,46,3,2,11,1,0,2,2,1,P
251,34,4,4,3,0,1,1,2,0,P
252,33,4,4,5,1,1,3,3,0,P
253,25,3,3,1,1,1,3,2,0,P
254,26,4,4,1,1,0,1,4,0,P
255,48,1,3,4,1,1,3,3,1,P
256,36,4,4,2,1,1,3,3,0,P
257,38,3,4,2,0,1,2,4,0,P
258,44,1,2,7,1,1,3,4,0,P
259,44,2,2,1,1,0,3,2,0,P
260,39,3,3,1,0,1,3,4,0,P
261,47,1,2,7,1,0,3,2,0,P
262,43,1,3,5,1,0,3,2,0,P
263,29,3,3,3,1,0,2,4,0,P
264,22,3,3,0,1,1,2,2,0,P
265,31,2,4,5,1,1,3,2,0,P
266,22,4,4,0,1,1,1,3,0,P
267,45,3,4,6,1,1,2,4,0,P
268,42,3,4,10,1,0,3,2,0,P
269,38,3,3,7,1,1,3,1,0,P
270,47,1,1,6,1,0,3,1,0,P
271,30,4,4,2,1,1,1,4,0,P
272,28,3,4,1,1,1,3,4,0,P
273,25,3,4,1,1,1,2,1,0,P
274,49,2,4,6,0,1,2,3,0,P
275,23,3,4,2,1,0,2,3,0,P
276,35,3,4,1,0,1,2,3,0,P
277,47,2,1,5,0,1,2,4,0,P
278,35,2,3,0,1,1,2,4,0,P
279,44,3,4,6,1,1,3,4,0,P
280,48,4,4,3,1,1,2,4,0,P
281,43,2,3,6,1,0,3,3,0,P
282,21,2,4,2,1,1,3,1,0,P
283,22,4,4,0,1,1,1,4,0,P
284,41,3,3,5,1,1,3,4,0,P
285,29,2,4,2,1,0,4,4,1,P
286,44,4,4,5,0,1,2,4,0,P
287,22,4,4,0,1,0,1,4,0,P
288,23,2,4,4,1,1,3,3,0,P
289,22,2,1,0,1,1,3,2,0,P
290,35,1,3,0,1,1,2,2,1,P
291,24,4,4,1,1,1,2,2,0,P
292,36,4,4,4,1,1,1,4,0,P
293,47,1,2,2,1,1,2,4,0,P
294,40,4,4,3,1,1,3,4,0,P
295,29,4,4,1,1,1,1,3,0,P
296,49,3,4,6,1,1,1,4,0,P
297,49,3,4,9,1,1,1,4,0,P
298,47,4,4,2,1,1,1,4,0,P
299,28,4,4,3,0,1,1,4,0,P
300,26,4,4,1,1,1,1,4,0,P
301,29,1,2,7,1,1,2,4,0,P
302,29,4,2,0,1,0,2,2,0,P
303,25,3,3,1,1,1,3,4,0,P
304,24,2,4,2,1,1,3,4,0,P
305,23,4,4,1,1,0,2,4,0,P
306,23,4,4,2,1,0,3,3,0,P
307,44,1,2,2,1,1,2,4,0,P
308,39,3,4,6,1,1,1,4,0,P
309,21,3,3,0,1,1,2,2,0,P
310,22,3,4,2,1,1,2,3,0,P
311,47,3,4,3,1,1,2,3,0,P
312,36,3,3,2,1,0,2,4,0,P
313,25,1,4,2,1,0,3,3,1,P
314,40,4,4,2,1,1,3,4,0,P
315,36,2,2,0,0,0,3,3,0,P
316,37,2,3,5,0,0,2,4,0,P
317,28,1,4,2,1,0,2,3,0,P
318,30,3,3,5,1,0,3,4,0,P
319,16,3,4,1,1,1,3,3,0,P
320,32,2,3,4,0,1,2,4,0,P
321,40,4,4,3,0,1,3,4,0,P
322,40,1,1,2,1,0,3,4,0,P
323,45,3,4,2,0,1,1,4,0,P
324,21,1,3,0,1,0,3,4,1,P
325,28,4,4,1,0,1,1,3,0,P
326,25,4,4,1,0,1,2,3,0,P
327,44,1,3,4,1,1,3,3,1,P
328,35,4,4,2,0,1,3,4,0,P
329,49,4,4,4,1,1,3,4,0,P
330,39,3,4,1,0,1,3,4,0,P
331,32,3,4,1,0,1,2,4,0,P
332,35,1,2,0,1,0,4,4,0,P
333,21,1,2,1,1,0,3,4,0,P
334,47,4,4,1,0,1,1,4,0,P
335,27,4,4,1,0,1,3,4,0,P
336,31,2,2,8,1,1,2,2,1,P
337,34,4,3,0,0,0,3,3,0,P
338,30,4,4,3,1,0,2,4,0,P
339,25,4,4,0,1,0,2,4,0,P
340,28,3,4,3,1,1,2,1,0,P
341,30,2,3,4,1,0,3,2,0,P
342,42,3,3,8,1,1,4,3,0,P
343,23,4,4,0,0,1,2,4,0,P
344,45,3,4,3,0,1,3,4,0,P
345,21,4,4,1,1,1,3,3,0,P
346,28,4,4,1,0,1,2,4,0,P
347,33,4,4,1,0,0,3,4,0,P
348,32,1,2,4,1,1,3,2,1,P
349,25,2,2,3,1,1,3,3,0,P
350,25,3,3,1,1,1,3,1,0,P
351,19,2,2,2,1,1,3,1,0,P
352,40,1,2,6,1,1,3,1,1,P
353,24,2,2,2,1,1,3,1,1,P
354,32,2,2,1,1,1,2,1,0,P
355,35,2,3,8,1,1,3,2,0,P
356,27,2,2,1,1,0,3,2,1,P
357,23,2,4,2,1,1,1,4,0,P
358,22,2,4,4,1,1,3,4,0,P
359,49,2,3,0,1,1,1,2,0,P
360,25,2,3,0,1,1,2,4,0,P
361,18,3,4,1,1,1,3,1,0,P
362,43,3,3,4,1,1,2,4,0,P
363,37,1,3,0,1,1,3,4,0,P
364,30,2,3,2,1,0,2,4,0,P
365,29,3,2,0,1,1,2,2,0,P
366,20,2,3,3,1,1,3,4,0,P
367,42,3,3,3,1,0,2,4,0,P
368,23,4,4,1,1,1,2,3,0,P
369,34,2,3,7,1,0,3,3,0,P
370,23,3,3,6,1,1,3,3,0,P
371,38,3,3,5,1,1,1,4,0,P
372,37,2,3,4,1,1,2,3,0,P
373,17,2,3,1,1,1,3,2,0,P
374,39,3,4,3,1,1,1,4,0,P
375,49,1,3,0,1,1,3,3,1,P
376,23,3,3,2,1,1,2,2,0,P
377,40,3,3,3,1,1,2,2,1,P
378,32,2,4,5,1,1,2,3,0,P
379,18,2,3,1,1,1,2,3,0,P
380,46,1,2,8,1,1,3,3,1,P
381,37,3,3,6,1,1,2,2,0,P
382,38,2,4,5,0,1,2,2,0,P
383,37,2,3,2,0,0,3,3,0,P
384,25,2,3,1,1,0,2,1,0,P
385,38,2,4,5,1,1,3,3,0,P
386,39,4,4,2,1,0,1,4,0,P
387,44,4,4,3,1,0,1,4,1,P
388,19,4,4,0,0,1,3,4,0,P
389,28,2,4,1,1,0,3,4,0,P
390,20,2,3,1,1,1,3,4,0,P
391,33,4,4,0,1,0,3,3,0,P
392,33,4,4,5,1,1,3,4,0,P
393,47,1,4,6,1,1,1,4,0,P
394,25,3,3,0,1,1,3,4,0,P
395,29,4,4,0,1,0,2,4,0,P
396,37,4,4,2,0,1,1,4,0,P
397,49,1,3,6,1,1,2,4,0,P
398,48,1,1,8,1,0,2,2,1,P
399,19,2,2,0,1,1,2,2,0,P
400,46,1,2,3,1,1,2,1,1,P
401,39,1,2,2,1,1,3,1,1,P
402,30,3,4,5,1,1,1,4,0,P
403,40,2,2,8,1,1,2,2,0,P
404,43,1,2,1,1,1,3,4,1,P
405,29,3,4,4,1,0,1,3,0,P
406,23,3,3,2,1,1,3,3,0,P
407,24,2,2,3,1,1,2,4,0,P
408,47,3,3,2,1,1,2,4,0,P
409,35,3,3,2,1,0,2,2,0,P
410,19,3,3,1,1,1,2,4,0,P
411,45,2,3,4,1,0,2,4,0,P
412,42,2,4,2,1,1,3,4,0,P
413,47,1,1,1,1,1,3,4,0,P
414,25,2,2,2,1,1,3,1,0,P
415,20,2,3,3,1,1,3,4,0,P
416,33,3,3,6,1,1,3,4,0,N
417,46,4,3,5,1,1,1,4,0,N
418,35,4,4,4,1,1,1,4,0,N
419,26,4,4,2,1,0,1,4,0,N
420,36,3,3,5,1,0,1,3,0,N
421,37,3,4,3,1,1,1,3,0,N
422,44,2,4,4,1,1,3,3,0,N
423,32,4,4,2,1,1,1,4,0,N
424,25,2,4,6,1,1,3,4,0,N
425,42,2,3,7,1,1,3,4,0,N
426,30,4,4,2,0,0,1,4,0,N
427,39,4,4,4,1,1,1,4,0,N
428,26,1,1,2,1,1,3,4,0,N
429,30,2,4,3,1,1,3,4,0,N
430,38,4,4,4,0,0,1,2,0,N
431,23,4,4,1,1,1,1,2,0,N
432,18,3,4,1,1,1,3,4,0,N
433,25,3,4,3,1,1,2,3,0,N
434,37,4,4,2,1,0,3,3,0,N
435,20,3,4,1,1,1,3,2,0,N
436,45,4,4,7,1,1,1,4,0,N
437,28,2,1,2,1,0,3,3,0,N
438,33,2,2,3,1,1,2,3,0,N
439,28,2,3,2,1,1,3,3,0,N
440,30,2,4,1,1,0,3,4,0,N
441,32,4,4,4,1,1,2,4,0,N
442,48,4,3,7,1,0,2,4,0,N
443,46,4,4,2,1,0,1,4,0,N
444,32,4,4,2,0,0,1,4,0,N
445,49,4,4,10,1,1,1,4,0,N
446,33,2,2,6,1,0,3,4,0,N
447,39,4,4,3,1,1,1,4,0,N
448,35,4,4,5,0,0,1,4,0,N
449,36,4,4,3,0,1,1,3,0,N
450,20,3,4,1,1,1,2,4,0,N
451,23,4,4,1,1,1,3,4,0,N
452,26,2,4,2,1,1,1,3,0,N
453,25,3,3,1,1,1,3,1,0,N
454,31,4,4,1,1,1,1,4,0,N
455,36,4,4,2,1,1,2,4,0,N
456,32,3,3,2,1,0,3,4,0,N
457,36,4,4,3,1,1,1,4,0,N
458,40,4,4,3,1,1,1,4,0,N
459,46,4,4,4,1,1,1,4,0,N
460,42,4,4,8,0,1,1,4,0,N
461,39,4,4,4,1,0,1,4,0,N
462,34,4,4,2,1,1,1,4,0,N
463,36,4,4,3,1,1,1,4,0,N
464,37,4,4,3,1,1,1,4,0,N
465,36,4,4,4,0,1,1,4,0,N
466,38,4,4,2,1,1,1,4,0,N
467,27,3,3,1,0,0,2,4,0,N
468,37,4,3,8,1,1,1,4,0,N
469,24,1,4,1,1,0,4,2,1,N
470,42,2,4,8,1,1,1,4,0,N
471,31,4,4,3,0,0,4,4,0,N
472,34,2,3,2,1,1,3,3,0,N
473,34,4,4,4,1,1,3,3,0,N
474,36,4,4,4,0,0,1,4,0,N
475,47,4,4,8,1,1,1,4,0,N
476,34,4,4,3,1,1,1,4,0,N
477,44,4,4,6,0,1,1,3,0,N
478,21,4,4,1,1,1,1,4,0,N
479,42,4,4,6,1,1,1,3,0,N
480,44,4,4,4,1,0,2,3,0,N
481,19,4,4,1,1,1,2,3,0,N
482,35,1,3,7,1,0,2,3,1,N
483,24,4,4,1,1,1,3,2,0,N
484,32,3,4,7,0,1,1,3,0,N
485,31,3,3,2,1,0,3,3,0,N
486,47,3,4,11,1,0,2,3,0,N
487,38,4,4,6,1,0,3,3,0,N
488,40,4,4,4,1,1,1,3,0,N
489,35,3,3,4,1,1,3,2,0,N
490,26,3,4,3,1,1,3,4,0,N
491,23,4,3,3,1,1,3,3,0,N
492,40,4,4,6,0,0,1,4,0,N
493,37,4,4,3,1,1,1,4,0,N
494,39,4,4,5,1,1,2,4,0,N
495,25,4,4,2,1,1,2,4,0,N
